Question,Option A,Option B,Option C,Option D,Answer
Which was the first purely object-oriented programming language developed?,Java,C++,SmallTalk,Kotlin,SmallTalk
Which of the following best defines a class?,Parent of an object,Instance of an object,Blueprint of an object,Scope of an object,Blueprint of an object
Who invented OOP?,Alan Kay,Andrea Ferro,Dennis Ritchie,Adele Goldberg,Alan Kay
What is the additional feature in classes that was not in structures?,Data members,Member functions,Static data allowed,Public access specifier,Member functions
Which is not a feature of OOP in general definitions?,Code reusability,Modularity,Duplicate/Redundant data,Efficient Code,Duplicate/Redundant data
Pure OOP can be implemented without using a class in a program. (True or False),True,False,False,True,False
Which Feature of OOP illustrates code reusability?,Polymorphism,Abstraction,Encapsulation,Inheritance,Inheritance
Which language does not support all 4 types of inheritance?,C++,Java,Kotlin,SmallTalk,SmallTalk
How many classes can be defined in a single program?,Only 1,Only 100,Only 999,As many as you want,As many as you want
When did the OOP concept first come into the picture?,1970’s,1980’s,1993,1995,1970’s
Why is Java a Partially OOP language?,It supports the usual declaration of primitive data types,It doesn’t support all types of inheritance,It allows code to be written outside classes,It does not support pointers,It supports the usual declaration of primitive data types
Which concept of OOP is false for C++?,Code can be written without using classes,Code must contain at least one class,A class must have member functions,At least one object should be declared in code,Code can be written without using classes
Which header file is required in C++ to use OOP?,iostream.h,stdio.h,stdlib.h,OOP can be used without using any header file,OOP can be used without using any header file
Which of the two features match each other?,Inheritance and Encapsulation,Encapsulation and Polymorphism,Encapsulation and Abstraction,Abstraction and Polymorphism,Encapsulation and Abstraction
Which feature allows open recursion, among the following?,Use of this pointer,Use of pointers,Use of pass by value,Use of parameterized constructor,Use of this pointer
